what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1341551673676
error,log,,,"Unhandled event loop exception",1341551673689
error,log,,,"Unhandled event loop exception",1341551673705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341551674198
error,log,,,"Unhandled event loop exception",1341551674397
error,log,,,"Unhandled event loop exception",1341551674410
error,log,,,"Unhandled event loop exception",1341551674421
error,log,,,"Unhandled event loop exception",1341551674431
error,log,,,"Unhandled event loop exception",1341551674442
error,log,,,"Unhandled event loop exception",1341551674452
error,log,,,"Unhandled event loop exception",1341551674461
error,log,,,"Unhandled event loop exception",1341551674471
error,log,,,"Unhandled event loop exception",1341551674480
error,log,,,"Unhandled event loop exception",1341551674490
error,log,,,"Unhandled event loop exception",1341551674499
error,log,,,"Unhandled event loop exception",1341551674508
error,log,,,"Unhandled event loop exception",1341551674517
error,log,,,"Unhandled event loop exception",1341551674526
error,log,,,"Unhandled event loop exception",1341551674535
error,log,,,"Unhandled event loop exception",1341551674545
error,log,,,"Unhandled event loop exception",1341551674554
error,log,,,"Unhandled event loop exception",1341551674563
error,log,,,"Unhandled event loop exception",1341551674574
error,log,,,"Unhandled event loop exception",1341551674575
error,log,,,"Unhandled event loop exception",1341551674590
error,log,,,"Unhandled event loop exception",1341551674606
error,log,,,"Unhandled event loop exception",1341551674633
error,log,,,"Unhandled event loop exception",1341551674644
error,log,,,"Unhandled event loop exception",1341551674655
error,log,,,"Unhandled event loop exception",1341551674666
error,log,,,"Unhandled event loop exception",1341551674679
error,log,,,"Unhandled event loop exception",1341551674718
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1341551674806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341551674880
error,log,,,"Unhandled event loop exception",1341551675035
error,log,,,"Unhandled event loop exception",1341551675048
error,log,,,"Unhandled event loop exception",1341551675070
error,log,,,"Unhandled event loop exception",1341551675084
error,log,,,"Unhandled event loop exception",1341551675101
error,log,,,"Unhandled event loop exception",1341551675112
error,log,,,"Unhandled event loop exception",1341551675122
error,log,,,"Unhandled event loop exception",1341551675140
error,log,,,"Unhandled event loop exception",1341551675153
error,log,,,"Unhandled event loop exception",1341551675165
error,log,,,"Unhandled event loop exception",1341551675176
error,log,,,"Unhandled event loop exception",1341551675186
error,log,,,"Unhandled event loop exception",1341551675198
error,log,,,"Unhandled event loop exception",1341551675209
error,log,,,"Unhandled event loop exception",1341551675220
error,log,,,"Unhandled event loop exception",1341551675232
error,log,,,"Unhandled event loop exception",1341551675245
error,log,,,"Unhandled event loop exception",1341551675258
error,log,,,"Unhandled event loop exception",1341551675270
error,log,,,"Unhandled event loop exception",1341551675288
error,log,,,"Unhandled event loop exception",1341551675308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341551677268
error,log,,,"Unhandled event loop exception",1341551677470
error,log,,,"Unhandled event loop exception",1341551677484
error,log,,,"Unhandled event loop exception",1341551677496
error,log,,,"Unhandled event loop exception",1341551677507
error,log,,,"Unhandled event loop exception",1341551677518
error,log,,,"Unhandled event loop exception",1341551677528
error,log,,,"Unhandled event loop exception",1341551677538
error,log,,,"Unhandled event loop exception",1341551677548
error,log,,,"Unhandled event loop exception",1341551677558
error,log,,,"Unhandled event loop exception",1341551677568
error,log,,,"Unhandled event loop exception",1341551677578
error,log,,,"Unhandled event loop exception",1341551677587
error,log,,,"Unhandled event loop exception",1341551677598
error,log,,,"Unhandled event loop exception",1341551677607
